Utterance_ID,HITTypeID,HIT_ID
0,nan,nan
1,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,3W3RSPVVGSCEKVN3806YTEEFXKXLUC
2,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,3W3RSPVVGSCEKVN3806YTEEFXKXLUC
3,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,3W3RSPVVGSCEKVN3806YTEEFXKXLUC
4,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,3W3RSPVVGSCEKVN3806YTEEFXKXLUC
5,nan,nan
6,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,373L46LKP7RUM9URB1QJ7CSPR4UJKB
7,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,373L46LKP7RUM9URB1QJ7CSPR4UJKB
8,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,373L46LKP7RUM9URB1QJ7CSPR4UJKB
9,3XL0AZPMI6XDFPUZ86YB0AKV7ORQCM,373L46LKP7RUM9URB1QJ7CSPR4UJKB
10,nan,nan
11,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
12,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
13,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
14,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
15,nan,nan
16,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
17,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
18,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
19,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3UUIU9GZC5QLIT5TG80H7TWGSIHT50
20,nan,nan
21,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
22,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
23,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
24,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
25,nan,nan
26,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
27,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
28,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
