Utterance_ID,Conversation_ID,No_Of_Turns,Turn_ID
0,0,1,0
1,0,1,1
2,0,1,1
3,0,1,1
4,0,1,1
5,1,1,0
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,0
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,2,1,0
16,2,1,1
17,2,1,1
18,2,1,1
19,2,1,1
20,3,1,0
21,3,1,1
22,3,1,1
23,3,1,1
24,3,1,1
25,4,1,0
26,4,1,1
27,4,1,1
28,4,1,1
29,4,1,1
30,5,1,0
31,5,1,1
32,5,1,1
33,5,1,1
34,5,1,1
35,6,1,0
36,6,1,1
37,6,1,1
38,6,1,1
39,6,1,1
40,7,1,0
41,7,1,1
42,7,1,1
43,7,1,1
44,7,1,1
45,8,1,0
46,8,1,1
47,8,1,1
48,8,1,1
49,8,1,1
50,9,1,0
51,9,1,1
52,9,1,1
53,9,1,1
54,9,1,1
55,10,1,0
56,10,1,1
57,10,1,1
58,10,1,1
59,10,1,1
60,11,1,0
61,11,1,1
62,11,1,1
63,11,1,1
64,11,1,1
65,12,1,0
66,12,1,1
67,12,1,1
68,12,1,1
69,12,1,1
70,13,1,0
71,13,1,1
72,13,1,1
73,13,1,1
74,13,1,1
75,14,1,0
76,14,1,1
77,14,1,1
78,14,1,1
79,14,1,1
80,14,1,0
81,14,1,1
82,14,1,1
83,14,1,1
84,14,1,1
85,15,1,0
86,15,1,1
87,15,1,1
88,15,1,1
89,15,1,1
90,16,1,0
91,16,1,1
92,16,1,1
93,16,1,1
94,16,1,1
95,17,1,0
96,17,1,1
97,17,1,1
98,17,1,1
99,17,1,1
100,18,1,0
101,18,1,1
102,18,1,1
103,18,1,1
104,18,1,1
105,19,1,0
106,19,1,1
107,19,1,1
108,19,1,1
109,19,1,1
110,20,1,0
111,20,1,1
112,20,1,1
113,20,1,1
114,20,1,1
115,21,1,0
116,21,1,1
117,21,1,1
118,21,1,1
119,21,1,1
120,22,1,0
121,22,1,1
122,22,1,1
123,22,1,1
124,22,1,1
125,23,1,0
126,23,1,1
127,23,1,1
128,23,1,1
129,23,1,1
130,24,1,0
131,24,1,1
132,24,1,1
133,24,1,1
134,24,1,1
135,24,1,0
136,24,1,1
137,24,1,1
138,24,1,1
139,24,1,1
140,25,1,0
141,25,1,1
142,25,1,1
143,25,1,1
144,25,1,1
145,26,1,0
146,26,1,1
147,26,1,1
148,26,1,1
149,26,1,1
150,27,1,0
151,27,1,1
152,27,1,1
153,27,1,1
154,27,1,1
155,28,1,0
156,28,1,1
157,28,1,1
158,28,1,1
159,28,1,1
160,29,1,0
161,29,1,1
162,29,1,1
163,29,1,1
164,29,1,1
165,30,1,0
166,30,1,1
167,30,1,1
168,30,1,1
169,30,1,1
170,31,1,0
171,31,1,1
172,31,1,1
173,31,1,1
174,31,1,1
175,32,1,0
176,32,1,1
177,32,1,1
178,32,1,1
179,32,1,1
180,33,1,0
181,33,1,1
182,33,1,1
183,33,1,1
184,33,1,1
185,34,1,0
186,34,1,1
187,34,1,1
188,34,1,1
189,34,1,1
190,35,1,0
191,35,1,1
192,35,1,1
193,35,1,1
194,35,1,1
195,36,1,0
196,36,1,1
197,36,1,1
198,36,1,1
199,36,1,1
200,37,1,0
201,37,1,1
202,37,1,1
203,37,1,1
204,37,1,1
205,38,1,0
206,38,1,1
207,38,1,1
208,38,1,1
209,38,1,1
210,39,1,0
211,39,1,1
212,39,1,1
213,39,1,1
214,39,1,1
215,40,1,0
216,40,1,1
217,40,1,1
218,40,1,1
219,40,1,1
220,41,1,0
221,41,1,1
222,41,1,1
223,41,1,1
224,41,1,1
225,42,1,0
226,42,1,1
227,42,1,1
228,42,1,1
229,42,1,1
230,43,1,0
231,43,1,1
232,43,1,1
233,43,1,1
234,43,1,1
235,44,1,0
236,44,1,1
237,44,1,1
238,44,1,1
239,44,1,1
240,45,1,0
241,45,1,1
242,45,1,1
243,45,1,1
244,45,1,1
245,46,1,0
246,46,1,1
247,46,1,1
248,46,1,1
249,46,1,1
250,47,1,0
251,47,1,1
252,47,1,1
253,47,1,1
254,47,1,1
255,48,1,0
256,48,1,1
257,48,1,1
