Utterance_ID,Conversation_ID,No_Of_Turns,Turn_ID
1,0,5,0
2,0,5,1
3,0,5,1
4,0,5,1
5,0,5,1
6,1,5,0
7,1,5,1
8,1,5,1
9,1,5,1
10,1,5,1
11,2,5,0
12,2,5,1
13,2,5,1
14,2,5,1
15,2,5,1
16,3,3,0
17,3,3,1
18,3,3,1
19,3,3,1
20,3,3,1
21,4,5,0
22,4,5,1
23,4,5,1
24,4,5,1
25,4,5,1
26,5,5,0
27,5,5,1
28,5,5,1
29,5,5,1
30,5,5,1
31,6,5,0
32,6,5,1
33,6,5,1
34,6,5,1
35,6,5,1
36,7,5,0
37,7,5,1
38,7,5,1
39,7,5,1
40,7,5,1
41,8,5,0
42,8,5,1
43,8,5,1
44,8,5,1
45,8,5,1
46,9,5,0
47,9,5,1
48,9,5,1
49,9,5,1
50,9,5,1
51,10,5,0
52,10,5,1
53,10,5,1
54,10,5,1
55,10,5,1
56,11,5,0
57,11,5,1
58,11,5,1
59,11,5,1
60,11,5,1
61,12,5,0
62,12,5,1
63,12,5,1
64,12,5,1
65,12,5,1
66,13,5,0
67,13,5,1
68,13,5,1
69,13,5,1
70,13,5,1
71,14,5,0
72,14,5,1
73,14,5,1
74,14,5,1
75,14,5,1
76,15,5,0
77,15,5,1
78,15,5,1
79,15,5,1
80,15,5,1
81,16,5,0
82,16,5,1
83,16,5,1
84,16,5,1
85,16,5,1
86,17,5,0
87,17,5,1
88,17,5,1
89,17,5,1
90,17,5,1
91,18,5,0
92,18,5,1
93,18,5,1
94,18,5,1
95,18,5,1
96,19,5,0
97,19,5,1
98,19,5,1
99,19,5,1
100,19,5,1
101,20,5,0
102,20,5,1
103,20,5,1
104,20,5,1
105,20,5,1
106,21,5,0
107,21,5,1
108,21,5,1
109,21,5,1
110,21,5,1
111,22,5,0
112,22,5,1
113,22,5,1
114,22,5,1
115,22,5,1
116,23,5,0
117,23,5,1
118,23,5,1
119,23,5,1
120,23,5,1
121,24,5,0
122,24,5,1
123,24,5,1
124,24,5,1
125,24,5,1
126,25,5,0
127,25,5,1
128,25,5,1
129,25,5,1
130,25,5,1
131,26,5,0
132,26,5,1
133,26,5,1
134,26,5,1
135,26,5,1
136,27,5,0
137,27,5,1
138,27,5,1
139,27,5,1
140,27,5,1
141,28,5,0
142,28,5,1
143,28,5,1
144,28,5,1
145,28,5,1
146,29,5,0
147,29,5,1
148,29,5,1
149,29,5,1
150,29,5,1
151,30,5,0
152,30,5,1
153,30,5,1
154,30,5,1
155,30,5,1
156,31,5,0
157,31,5,1
158,31,5,1
159,31,5,1
160,31,5,1
161,32,5,0
162,32,5,1
163,32,5,1
164,32,5,1
165,32,5,1
166,33,5,0
167,33,5,1
168,33,5,1
169,33,5,1
170,33,5,1
171,34,5,0
172,34,5,1
173,34,5,1
174,34,5,1
175,34,5,1
176,35,5,0
177,35,5,1
178,35,5,1
179,35,5,1
180,35,5,1
181,36,5,0
182,36,5,1
183,36,5,1
184,36,5,1
185,36,5,1
186,37,5,0
187,37,5,1
188,37,5,1
189,37,5,1
190,37,5,1
191,38,5,0
192,38,5,1
193,38,5,1
194,38,5,1
195,38,5,1
196,39,5,0
197,39,5,1
198,39,5,1
199,39,5,1
200,39,5,1
201,40,5,0
202,40,5,1
203,40,5,1
204,40,5,1
205,40,5,1
206,41,5,0
207,41,5,1
208,41,5,1
209,41,5,1
210,41,5,1
211,42,5,0
212,42,5,1
213,42,5,1
214,42,5,1
215,42,5,1
216,43,1,0
217,43,1,1
218,43,1,1
219,43,1,1
220,43,1,1
221,44,1,0
222,44,1,1
223,44,1,1
224,44,1,1
225,44,1,1
226,45,1,0
227,45,1,1
228,45,1,1
229,45,1,1
230,45,1,1
231,46,1,0
232,46,1,1
233,46,1,1
234,46,1,1
235,46,1,1
236,47,1,0
237,47,1,1
238,47,1,1
239,47,1,1
240,47,1,1
241,48,1,0
242,48,1,1
243,48,1,1
244,48,1,1
245,48,1,1
246,49,1,0
247,49,1,1
248,49,1,1
249,49,1,1
250,49,1,1
251,50,1,0
252,50,1,1
253,50,1,1
254,50,1,1
255,50,1,1
256,51,1,0
257,51,1,1
258,51,1,1
259,51,1,1
260,51,1,1
261,52,1,0
262,52,1,1
263,52,1,1
264,52,1,1
265,52,1,1
266,53,1,0
267,53,1,1
268,53,1,1
269,53,1,1
270,53,1,1
271,54,1,0
272,54,1,1
273,54,1,1
274,54,1,1
275,54,1,1
276,55,1,0
277,55,1,1
278,55,1,1
279,55,1,1
280,55,1,1
281,56,1,0
282,56,1,1
283,56,1,1
284,56,1,1
285,56,1,1
286,57,1,0
287,57,1,1
288,57,1,1
289,57,1,1
290,57,1,1
291,58,1,0
292,58,1,1
293,58,1,1
294,58,1,1
