UniqueID,DialogueActs,Texts
00001,prompt,I love walking along the beach.
00002,TalkMore,"Living in a cooler climate with no beaches, I'm usually bored to death, but living near a beach would be like heaven on earth! I'd love to be able to walk along the beach any day."
00003,negative,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
00004,positive,"If I lived in an area where there were beaches, I would walk along the beach every single day. I'd probably be there every morning to watch the sun rise."
00005,rhetorical,"Who doesn't love walking along the beach? If a person lives near a beach, why would he or she want to do anything other than walk along a quiet, refreshing, beautiful beach?"
00006,prompt,I love walking along the beach.
00007,TalkMore,Beaches are sandy paths to happiness.
00008,negative,"Oh yeah, nothing like getting sand everywhere to brighten up my day."
00009,positive,"Me too! I'd love to live in the desert, which is basically just a GIANT beach!"
00010,rhetorical,Who doesn't love walks on the beach?
00011,prompt,I love walking along the beach.
00012,TalkMore,Walking in the park is the best and most affordable therapy for a lot sickness and laziness.
00013,negative,Walking can be so enjoyable that it become addictive. I sometimes postpone my other duties to fulfill the goal I set for my daily walking.
00014,positive,Walking is such a relaxing exercise. Studies show that walking could well be the best activity which everyone can afford.
00015,rhetorical,"How could anyone to pay a big fat fee to use some walking machine, while you can walk for free in a beautiful park?"
00016,prompt,"I belong to a local gym, and go to the SPIN classes."
00017,TalkMore,They're like paying someone to tell you how to walk. Pointless.
00018,negative,I'm sure those spin bikes are so much different than any other bike that charging a bunch for them is justified.
00019,positive,"Spinning is just riding an exercise bike, right? I have one at home. I don't want to pay to ride others elsewhere. It seems like having your own is much cheaper."
00020,rhetorical,What do you think happened before spin classes?
00021,prompt,"I belong to a local gym, and go to the SPIN classes."
00022,TalkMore,Spinning is as trendy as the new Jordan's.
00023,negative,How do you like rocking out with the soccer moms?
00024,positive,That must be incredible!
00025,rhetorical,Is there anyone who doesn't like being accused of having a slim waist?
00026,prompt,"I belong to a local gym, and go to the SPIN classes."
00027,TalkMore,"SPIN class, like riding a bike to nowhere."
00028,negative,"Oh, you go tot he SPIN classes, huh? Yeah there's nothing that can work your legs like a spin class. Not even squats, the elliptical, running or anything else that's less strenuous."
00029,positive,Oh my gosh! I love SPIN classes! I go three mornings a week! I always get there early so I can sit right in front! It is my favorite work out!
00030,rhetorical,Who doesn't like a good SPIN class? You can burn 700 calories in an hour.
00031,prompt,I like to go mountain biking.
00032,TalkMore,I like mountain bikes like a fat kid likes cake.
00033,negative,I totally enjoy biking down a bumpy terrain while holding on for dear life and nearly dying.
00034,positive,"Yeah, Mountain biking is the BEST THING in the WHOLE WORLD."
00035,rhetorical,"OF COURSE YOU LIKE IT!, Do frogs bump their bumps on the ground when they hop?"
