HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITTYPE_ID_level1,Input.WORKER_ID_level1,Input.Dialogueacts_level1,Input.slot0,Input.slot1,Answer.change,Answer.comments,Answer.continuation,Answer.elaboration,Answer.joking_sarcastic,Approve,Reject
3EKZL9T8Y87GC5NDVO607GZ2AQICHY,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,39LOEL67OTR2SEOVPT6VPKYVP9K83K,A1R3MNDWBBDZ6L,Approved,Fri May 19 07:26:36 PDT 2017,Fri May 19 07:27:46 PDT 2017,Sat Jun 03 07:27:46 PDT 2017,Sun May 21 20:31:02 PDT 2017,,,70,100% (179/179),100% (179/179),100% (10/10),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.TalkMore,I love walking along the beach.,"Living in a cooler climate with no beaches, I'm usually bored to death, but living near a beach would be like heaven on earth! I'd love to be able to walk along the beach any day.",I'd like to live near a forest as well.,no,"Yeah, beaches are nice and cool. I love them.","Yeah, a beach would be nice to live. I'd enjoy such a tropical locale.","Yeah, getting sand everywhere sounds heavenly.",,
3EKZL9T8Y87GC5NDVO607GZ2AQICHY,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3IO1LGZLKAJ1PXBD8V4TWNAFZ0O86S,A16PO1YMZ8IBQA,Approved,Fri May 19 08:18:13 PDT 2017,Fri May 19 08:26:14 PDT 2017,Sat Jun 03 08:26:14 PDT 2017,Sun May 21 20:31:03 PDT 2017,,,481,100% (13/13),100% (13/13),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.TalkMore,I love walking along the beach.,"Living in a cooler climate with no beaches, I'm usually bored to death, but living near a beach would be like heaven on earth! I'd love to be able to walk along the beach any day.",What activities do you do in your current climate that you can't do on the beach?,,I agree! Living near the beach is like a childhood dream.,"I agree! There's the choice of sports, excising, fun, endless! I used to live in cooler climates, and it did make the beach more fun to look forward too.",There are plenty of beaches in cooler climates also! Just depends what you want to do near them.,,
3EKZL9T8Y87GC5NDVO607GZ2AQICHY,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3ZY8KE4ISKPSARQAVXT1U6BEAZSVQ8,A3GNQDFPZALU92,Approved,Fri May 19 06:36:23 PDT 2017,Fri May 19 06:43:10 PDT 2017,Sat Jun 03 06:43:10 PDT 2017,Sun May 21 20:31:03 PDT 2017,,,407,100% (17/17),100% (15/15),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.TalkMore,I love walking along the beach.,"Living in a cooler climate with no beaches, I'm usually bored to death, but living near a beach would be like heaven on earth! I'd love to be able to walk along the beach any day.","Yeah, it's beautiful. The walking is making me kind of hungry though. Shouldn't we get something to eat soon?",None,"I know, I find it so relaxing, it completely mellows me. I don't even mind if it's rainy or chilly, which usually would bother me, but for some reason, the beach just speaks to me.","So do I. But I really wish I had the dogs with me. They love the water and the sand, and they would both have an amazing time here.","Oh yeah, any day, huh? That'd be a great way to lose your job, just strolling down the beach all day while your work piles up at the office.",,
3IYI9285WSLC3BI3JO9LJTFHNIMCJ3,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3BWI6RSP7HV12YZ948VLUB6X5CL7E0,A1NIKHUA79SWGD,Approved,Fri May 19 02:07:54 PDT 2017,Fri May 19 02:14:33 PDT 2017,Sat Jun 03 02:14:33 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,399,100% (21/21),100% (21/21),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.negative,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?",,"On the plus side, you do get to bring back the smell of the beach with you, at least for a little while. So that's nice while it lasts. It's a more pleasant reminder of the good times you had that day.","I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!","The moment I drove back, and opened the car door after getting home sand just started pouring out, castles and all. There were even a few crabs, and some fish. Water and all. I'm sure I must've brought back at least a quarter of the beach with me. On the plus side, now I no longer have to go out to go to the beach. I just open the front door.",,
3IYI9285WSLC3BI3JO9LJTFHNIMCJ3,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3TE22NPXPCYMR9KXD4L1IDAW1NI44S,A1R3MNDWBBDZ6L,Approved,Fri May 19 06:59:48 PDT 2017,Fri May 19 07:01:29 PDT 2017,Sat Jun 03 07:01:29 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,101,100% (179/179),100% (179/179),100% (10/10),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.negative,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of cars, I'm thinking of getting a new one.",no,Oh yeah. It's like you take some of the beach home with you!,"Sand is interesting; There's so much of it, and we don't even notice it unless there's a lot of it in one place.","Yeah, I ""love"" having to vacuum my car.",,
3IYI9285WSLC3BI3JO9LJTFHNIMCJ3,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3X66WABAJX4HLTUD8RIJHXFTDVR3GV,A3EQR9C0L23O6E,Approved,Fri May 19 11:07:20 PDT 2017,Fri May 19 11:41:41 PDT 2017,Sat Jun 03 11:41:41 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,2061,100% (23/23),100% (23/23),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.negative,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.",I also like going to lakes.,,The sound of the surf is my favorite part.,But the seagulls  pooping everywhere makes it a little gross.,"On the plus side, after a few trips you can make your kids a sandbox.",,
3QQUBC64ZEZWPZKJPIX0QDH8XKEXNT,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,33TIN5LC05W3MM4TJ65ZFAPJIDXY9Z,A1NIKHUA79SWGD,Approved,Thu May 18 21:35:38 PDT 2017,Thu May 18 21:39:50 PDT 2017,Fri Jun 02 21:39:50 PDT 2017,Sun May 21 20:31:18 PDT 2017,,,252,100% (21/21),100% (21/21),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.positive,I love walking along the beach.,"If I lived in an area where there were beaches, I would walk along the beach every single day. I'd probably be there every morning to watch the sun rise.","Of course, the beach isn't the only place I'd like to live. I bet waking up and seeing the sun rise above the mountains would be pretty interesting too, don't you think?",,Seeing the sun glisten on the water as it rises must be sort of magical as you smell that sweet morning breeze.,"I've never lived near a beach, so I've never had the chance to see the sun rise over the water. So the idea is really appealing to me.","And plus, you know, I hear the dawn is the best time to meet mermaids. Maybe during one of my morning strolls I'll come across a cute girl swimming nearby, and I'll hook up with her. I'll just have to try and ignore the tail.",,
3QQUBC64ZEZWPZKJPIX0QDH8XKEXNT,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3CP1TO84PUNUKE9ANVLNUQJCH5J251,A3GNQDFPZALU92,Approved,Fri May 19 07:36:20 PDT 2017,Fri May 19 07:43:01 PDT 2017,Sat Jun 03 07:43:01 PDT 2017,Sun May 21 20:31:18 PDT 2017,,,401,100% (17/17),100% (15/15),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.positive,I love walking along the beach.,"If I lived in an area where there were beaches, I would walk along the beach every single day. I'd probably be there every morning to watch the sun rise.","Well, a regular morning visit would at least teach me to bring a sweater. I'm getting really cold. Do you think we can head back soon?",NA,"Sounds nice. It would be hard to stay inside if all of this were anywhere near your back door, you're right. Mornings and evenings would be hard to resist.","Me, too. But I think I'd want to surf, as well. I mean, it'd be a shame to pass up those amazing waves. Who knows, you might even want to learn how and join me finally. What do you think?","Or you could just live on the beach, under those rocks maybe. As long as you're gonna be there every morning anyway, why not save money on rent and just do the beach bum thing? You'd be a literal beach bum, which has a certain integrity. Well, it'd be gritty, if nothing else.",,
3QQUBC64ZEZWPZKJPIX0QDH8XKEXNT,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3FFJ6VRIL2AZ0S1BFS030BU2PT1I03,A2C27YTQSQ1GXS,Approved,Fri May 19 06:49:40 PDT 2017,Fri May 19 06:51:59 PDT 2017,Sat Jun 03 06:51:59 PDT 2017,Sun May 21 20:31:18 PDT 2017,,,139,100% (24/24),100% (24/24),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.positive,I love walking along the beach.,"If I lived in an area where there were beaches, I would walk along the beach every single day. I'd probably be there every morning to watch the sun rise.",Hey we should take a walk to the mall,,Me too somewhere like Florida would be nice,The beach is a very relaxing place to go. The waves and ocean can't get no better than that,All you have to do is watch for crabs,,
3IKDQS3DQELG80YX16OL7S0HA3XCIR,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,34S9DKFK74BOBO8NKGO4XBK3N59NYO,A16PO1YMZ8IBQA,Approved,Fri May 19 06:46:39 PDT 2017,Fri May 19 07:17:17 PDT 2017,Sat Jun 03 07:17:17 PDT 2017,Sun May 21 20:31:04 PDT 2017,,,1838,100% (13/13),100% (13/13),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.rhetorical,I love walking along the beach.,"Who doesn't love walking along the beach? If a person lives near a beach, why would he or she want to do anything other than walk along a quiet, refreshing, beautiful beach?",Maybe they'd rather play some beach volleyball? Still near the beach and can enjoy all the amenities.,,Exactly! I'd find any and all kinds of excuses to go for a walk and enjoy the scenery.,"I mean, maybe if you live near the beach it isn't as special as when you vacation or visit for short periods of time?",I bet people with Aquaphobia don't like walking that close to the water!,,
