UniqueID,DialogueActs,Texts
00001,prompt,I love walking along the beach.
00002,TalkMore,Which beach is your favorite?
00003,negative,The beach is crowded and overrated. The water is salty and the sand is too hot.
00004,positive,I love walking on the beach! I love the feeling of the sand between my toes.
00005,rhetorical,Who doesn't love the beach? Everyone wants to live there.
00006,prompt,I love walking along the beach.
00007,TalkMore,"Yes, have you ever gone to Cancun. Best beaches in the world. Even better than Maui. And Big Dad has gone to both.
If you are a ba and are willing to pay for EVERYTHING, we prob can go together!"
00008,negative,I'm more into walking under the stars. I'm prob not as much of a 'water' or 'beach' person as most. Just not as into it!
00009,positive,"Yes, it can be very romantic with a ba...or THREE. Think of the possibilities!!"
00010,rhetorical,"As John Kerry might say, who among us doesn't enjoy a romantic stroll along the beach"
00011,prompt,I love walking along the beach.
00012,TalkMore,"If you have time, I could show you how to fish for swordfish. They are huge fish that can be dangerous to catch!"
00013,negative,"I am always afraid I'm going to step on a jellyfish, I hear that even tiny ones can kill you."
00014,positive,My favorite thing about the beach is the sound of the waves lapping on the shore.
00015,rhetorical,Do you think there is a chance we see a mermaid while we are on the beach?
00016,prompt,"I belong to a local gym, and go to the SPIN classes."
00017,TalkMore,"SPIN class is a great start in keeping active, but have you thought about adding weight lifting to your routine?  You can start out with some small dumbbells or try out some of the other machines at the gym.  Don't be shy, ask questions!  There are tons of other options besides the stationary bikes, and I think you'll love the challenge!"
00018,negative,I hate going to gyms!  They always smell weird and too many gross guys staring at me.
00019,positive,That's great!  SPIN class is an awesome way to stay active!
00020,rhetorical,Why would anyone waste their money?  You can get a perfectly good workout biking on the road for free.
00021,prompt,"I belong to a local gym, and go to the SPIN classes."
00022,TalkMore,How long have you had a gym membership?
00023,negative,I would get tired of doing the same exercise though.
00024,positive,That must keep you really fit.
00025,rhetorical,Who wants to spin another 100 times?
00026,prompt,"I belong to a local gym, and go to the SPIN classes."
00027,TalkMore,Are you enjoying your spin class? Do you find it hard?
00028,negative,I really don't like spin classes. I'd rather exercise at my own pace.
00029,positive,Spin classes are a fun way to exercise. They are much more exciting than exercising alone.
00030,rhetorical,What's better way to exercise than a spin class?
00031,prompt,I like to go mountain biking.
00032,TalkMore,It would be a really cool experience to compete in a mountain biking competition.
00033,negative,The one thing I hate most about about biking is when your tire goes flat and your nowhere near home.
00034,positive,"I am a huge fan of mountain biking, its actually amazing exercise!"
00035,rhetorical,Wouldn't it be great if you could have a truck and trailer with a port-a-potty follow you while you ride?
00036,prompt,I like to go mountain biking.
00037,TalkMore,What kind of bike do you own?
00038,negative,I don't really like mountain biking compared to regular biking though because I like to get somewhere when I bike.
00039,positive,That is so good for you!
00040,rhetorical,I mean is it really fun to come back covered in mud after a bike ride?
00041,prompt,I like to go mountain biking.
00042,TalkMore,"How long have you been mountain biking, anyway?"
00043,negative,I don't like it. It makes me tired.
00044,positive,"Mountain biking is fun, I agree!"
00045,rhetorical,Who doesn't enjoy a bike ride up a steep incline?
00046,prompt,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.
00047,TalkMore,Do you have a very big record or CD collection?  What kind of bands are in it?
00048,negative,Digital collections stink.  I hate wading through tons of information just to find a decent song and sometimes I want to get off the computer we are so dependent on all the time.
00049,positive,I really liked looking through my music collection and holding something in my hand.  That is the best way to listen to music.
00050,rhetorical,Why would people get rid of their CD collection?  It is great having a library off of the computers in case something happens with the digital system.
00051,prompt,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.
00052,TalkMore,What is your favorite genre of music?
00053,negative,I dislike physical copies because I always scratch them?
00054,positive,"I love physical copy of music, its so colorful and neat."
00055,rhetorical,Who doesn't love having a bunch of cds to hang up on your wall?
00056,prompt,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.
00057,TalkMore,What CDs have you collected?
00058,negative,"Nah, I disagree. CDs are cumbersome and heavy."
00059,positive,"Yeah, I agree! I love collecting physical CDs."
00060,rhetorical,Who still collects CDs?
00061,prompt,"I have a huge collection of CDs, and I really like being able to browse through them."
00062,TalkMore,I love music too! I mostly listen to digital music; I love being able to sign into Pandora and get tons of different new bands to get hooked on. But older stuff is good too. Do you buy a lot of music these days? Or is this collection more about how your musical taste has evolved?
00063,negative,CDs are in the past; it's all about digital media now. Why would you hold onto all that material?
00064,positive,That's awesome! What kind of music are you into?
00065,rhetorical,Who doesn't love music?
00066,prompt,"I have a huge collection of CDs, and I really like being able to browse through them."
00067,TalkMore,I'd love to see your CD collection some time. I bet you have some good ones.
00068,negative,CDs can get scratched or broken. It's better not to handle them.
00069,positive,That's one of the big benefits of having CD's. I love handling mine.
00070,rhetorical,Are CDs really that much better than digital?
00071,prompt,"I have a huge collection of CDs, and I really like being able to browse through them."
00072,TalkMore,"I bet it's fun, I really like when you find something you forgot you had."
00073,negative,"They always get scratched though, so I don't really like them."
00074,positive,"I wish I had a collection like that, it's fun to pick through stuff."
00075,rhetorical,I wonder if they will ever end up being nostalgic like vinyl is right now?
00076,prompt,"It's hard to find new music, new bands or singers that you might like."
00077,TalkMore,Do you have a favorite Coldplay song?
00078,negative,But a lot of current music is one hit wonder stuff.
00079,positive,I think Coldplay is really good.
00080,rhetorical,Is Harry Stiles really the new Elvis?
00081,prompt,"It's hard to find new music, new bands or singers that you might like."
00082,TalkMore,you tried sound-cloud yet ? they've got some new mad tune.
00083,negative,"i wonder myself,seems like no new tune out there one would think."
00084,positive,"oh really,but there are several platform you can find new music,have you tried apple music?"
00085,rhetorical,with over 10 music streaming platforms and you say you can find good music? come on man. lol
00086,prompt,"It's hard to find new music, new bands or singers that you might like."
00087,TalkMore,Did you try a way to find any new music?  Did you see anything you liked anyway you could recommend?
00088,negative,All of the new music is horrible.  I can never find anything decent from these new young kids.  The new music has no spirit in it.
00089,positive,You might want to look on amazon.com and sample music for some of the new bands.  You will find something new you like that way.
00090,rhetorical,Who kind find any new good music these days?  It is like looking for a needle in a haystack.
00091,prompt,Its hard to keep track of your digital music collection.
00092,TalkMore,What kind of music are you listening to right now? I could use some recommendations to expand my taste.
00093,negative,"I don't bother with digital music. Vinyl is much better quality, I wouldn't bother with anything else."
00094,positive,"It is worth keeping track of, though! Once you have everything set up properly, you can access your music from anywhere. Plus you don't have to keep a physical collection."
00095,rhetorical,"Do you need to do it, though? Most of the time, the company giving you your music does it for you."
00096,prompt,Its hard to keep track of your digital music collection.
00097,TalkMore,"Oh, why do you think that, what are you having trouble with exactly?"
00098,negative,I don't see how so. Lots of media players have options for organizing your music via playlists and search functionality.
00099,positive,"I agree, I oftentimes download songs and don't care enough to organize them into playlists and may even forget where the directory is for my music."
00100,rhetorical,"Yeah, technology is such a bother nowadays, isn't it?"
00101,prompt,Its hard to keep track of your digital music collection.
00102,TalkMore,"Oh, yeah. How do you have yours sorted, anyway?"
00103,negative,"Yeah, it's such a pain. I hate sorting through my music folder."
00104,positive,It's easy for me! I use sorting to make searching a breeze!
00105,rhetorical,How can we make it less hard?
00106,prompt,Some people still like to play vinyl records.
00107,TalkMore,Do you like vinyls too?
00108,negative,I don't see why. They don't sound any better and they're really inconvenient to use.
00109,positive,I like them too! They sound better than CDs or tapes.
00110,rhetorical,How can anyone still find vinyls?
00111,prompt,Some people still like to play vinyl records.
00112,TalkMore,"Yeah man, I love vinyl. What vintage stuff do you have?"
00113,negative,I don't like having all those records laying around. I can put a thousand records on my phone and it fits in my pocket.
00114,positive,Vinyl records are the best. They just produce that sound you can't get with digital recordings.
00115,rhetorical,Isn't playing records the best?
00116,prompt,Some people still like to play vinyl records.
00117,TalkMore,Which records do you like the best? Are you interested in buying any?
00118,negative,Why would anyone still be interested in those? I think they are outdated and a thing of the past. I wouldn't waste my time with records.
00119,positive,Vinyl records are like a piece of history! I love to collect them and play them at times also. My grandfather has a ton of them as well.
00120,rhetorical,Why would anyone not like records? They make me feel nostalgic.
00121,prompt,I sometimes wonder whether all this texting and snapchatting and facebook actually makes people less social.
00122,TalkMore,"Totally bro, I can barely even be around people snapping pictures of themselves all day. Have you seen people taking pictures of their food?"
00123,negative,"Everyone is doing it though, so if you aren't then you won't have any friends."
00124,positive,"I get what you're saying. They try to connect through their phones, but stop doing it in person."
00125,rhetorical,"Yeah, like how do you get anything done when you're on your phone all day?"
00126,prompt,I sometimes wonder whether all this texting and snapchatting and facebook actually makes people less social.
00127,TalkMore,Do you have twitter?
00128,negative,But I agree it can also be really impersonal.
00129,positive,At least people can stay in touch who don't live near each other.
00130,rhetorical,Am I the only person without a Facebook account?
00131,prompt,I sometimes wonder whether all this texting and snapchatting and facebook actually makes people less social.
00132,TalkMore,Do you use any of those apps?
00133,negative,I agree.  No one talks with each other anymore.
00134,positive,I think it makes people more social.  I keep in touch more now that I can text.
00135,rhetorical,Who actually talks and has a conversation anymore?
00136,prompt,I got myself a brand-new phone the other day. The Google Pixel. Have you seen it?
00137,TalkMore,What are your favorite features? So you take selfies?
00138,negative,"The Pixel is extremely overpriced. I'd rather have something less expensive, but just as functional."
00139,positive,I love the Pixel.  It's a very useful piece of technology.
00140,rhetorical,Why would you pay so much for a phone? It's a ripoff.
00141,prompt,I got myself a brand-new phone the other day. The Google Pixel. Have you seen it?
00142,TalkMore,Is it like VR enabled? All the Google stuff is always crazy ahead of the curve.
00143,negative,It's not different enough from the other smart phones I've seen.
00144,positive,"I saw it and it looked crazy. It doesn't have any bevels, right? It's nuts."
00145,rhetorical,Why would I care about a smartphone?
00146,prompt,I got myself a brand-new phone the other day. The Google Pixel. Have you seen it?
00147,TalkMore,Do you prefer android to Iphone?
00148,negative,I also heard the technology on it wasn't as great as some say.
00149,positive,Yes and it looks really cool.
00150,rhetorical,Does anyone even have anything but Apple these days?
00151,prompt,I'm learning how to be a chatbot. What should I say to be interesting?
