HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITTYPE_ID_level1,Input.WORKER_ID_level1,Input.Dialogueacts_level1,Input.slot0,Input.slot1,Answer.change,Answer.comments,Answer.joking_sarcastic,Answer.more_detail,Answer.sympathetic,Approve,Reject
39N6W9XWRD8FFCT77A67J7FKZXCGY3,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,382M9COHEI1309B5HGOW43KHGS6EUA,A28LE67Q1YR9TV,Approved,Fri Jun 02 18:18:14 PDT 2017,Fri Jun 02 18:22:44 PDT 2017,Sat Jun 17 18:22:44 PDT 2017,Sun Jun 11 21:16:57 PDT 2017,,,270,100% (3/3),100% (3/3),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3TJOSEGRRDAM5,Answer.TalkMore,Let's talk about politics.,I am soooo tired  of talking politics!,"Yeah, no kidding. There was this news about them building a new rec center downtown.",NA,"What, you don't enjoy hearing every day about something new Trump did to ruin the country?",I know! It seems like you can't escape it. I haven't heard a thing on the radio that wasn't about politics in days.,Me too! I feel like we just keep saying the same things and nothing changes.,,
37J05LC5AX4M83OHJK4W3ZXZ91NJD2,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,388U7OUMF8NCTR4U5FUCE3VTFSHR0M,A1YI99FRUDX2M7,Approved,Fri Jun 02 16:48:41 PDT 2017,Fri Jun 02 16:52:45 PDT 2017,Sat Jun 17 16:52:45 PDT 2017,Sun Jun 11 21:16:57 PDT 2017,,,244,100% (9/9),100% (9/9),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3TJOSEGRRDAM5,Answer.negative,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That's interesting.  Do you think he was political or just trying to be funny?,,I love the play on words.  Was he cutting the cheese?  Just kidding.  I think sloganed shirts can be a riot.,I think it's so interesting how they took that slogan from the Reagan era.,That shirt slogan works really well in a deli.  I wonder what other pun-filled slogans there are for other jobs.,,
3TD33TP5DLNISDNTBI0DFA6GGTHBA7,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,36H9ULYP63GMS7070S4OFJW6BDPJF3,A2YE2I9DYV9OKW,Approved,Fri Jun 02 18:30:20 PDT 2017,Fri Jun 02 18:40:15 PDT 2017,Sat Jun 17 18:40:15 PDT 2017,Sun Jun 11 21:16:57 PDT 2017,,,595,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3TJOSEGRRDAM5,Answer.positive,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Eh, that's all just scandal stuff. Have you seen the new Republican tax proposal?",NA,"Well, all I know is that it takes a lot of heat off of me. Do svidaniya, Comey!",It's a crazy situation. Firing the director of the FBI would be big news even if there wasn't an ongoing investigation.,I love how so many positions flipped. Some people who were saying last week that Comey was terrible and improperly inserted himself into the election are now freaking out that he got ousted. Do they hate the guy or love him?,,
3DW3BNF1GH3JI3SKJ17ZKVUSTXXV8T,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3A1PQ49WVI3ZBMB95TMIE4CXXEM1H5,A1UEVG6U64A6IV,Approved,Sat Jun 03 00:25:24 PDT 2017,Sat Jun 03 00:31:39 PDT 2017,Sun Jun 18 00:31:39 PDT 2017,Sun Jun 11 21:16:57 PDT 2017,,,375,100% (3/3),100% (3/3),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3TJOSEGRRDAM5,Answer.rhetorical,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Speaking of Russia, have you heard about their efforts to regulate bitcoin? It's been in the news lately.",None,"Yeah, I'm SURE that writing to state representatives does SO MUCH, it's not like Russia FIXED the election or anything.","Yes, it really does seem that given the surprising election results in 2016, more people are becoming actively involved in politics.","I agree. I myself have been volunteering more for Democratic organizations, and have seen a drastic increase in how many are writing letters to their state representatives.",,
31ODACBENU09WFBCB0JUVZVLOZPSQW,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3TXWC2NHN0C6Q0SKK0DAXO1I41QS9P,A2WQWHBN0BF4U7,Approved,Fri Jun 02 23:10:07 PDT 2017,Fri Jun 02 23:19:14 PDT 2017,Sat Jun 17 23:19:14 PDT 2017,Sun Jun 11 21:16:57 PDT 2017,,,547,100% (11/11),100% (3/3),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.TalkMore,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"i do not vote as to me its such a waste of time but this year i would cos i need to also have a say on who governs me, have you registered yet?",,"they be like ""please vote for me"" and once their in they  like "" well thanks i would see you guys in the next four years for a third term""","they perform really poorly once they are re elected especially if its going to be their last term in office,they are of the idea that after all i am not re contesting so who cares.","it is the masses who get fooled by their sweet talk and later complain and protest for change i do feel pity for, using their tax deduction to pay someone who's just not doing their job.",,
3S4TINXCC087UHHUL15VG5QL5ALOBJ,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3VJ40NV2QJ9ACN95BP1I4JST1GJTOG,A2YE2I9DYV9OKW,Approved,Fri Jun 02 16:35:46 PDT 2017,Fri Jun 02 16:42:01 PDT 2017,Sat Jun 17 16:42:01 PDT 2017,Sun Jun 11 21:16:57 PDT 2017,,,375,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.negative,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,I think a lot of politicians use the George Costanza method: It's not a lie if you believe it.,,"They know that people have figured that out, that's why they're moving to twitter now.","Yeah, but what are you going to to do, if everybody thinks you need to be a slick liar to be a politician then honest people won't even bother with it.","Yeah, they all do it. The trick now, though, is how do you tell when the news reporters are lying?",,
3HUR21WDDUAQ1YOXWK6B7TFF2N8XYC,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,30MVJZJNHNZDRX9UX64W5NAV8E29J7,A2YE2I9DYV9OKW,Approved,Fri Jun 02 16:30:31 PDT 2017,Fri Jun 02 16:35:10 PDT 2017,Sat Jun 17 16:35:10 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,279,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.positive,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I've been trying to get more of my news on the internet, I feel like it's less produced and manipulative when I can consume things at my own pace.",,The pharmaceutical companies probably pay them to make sure they get that result.,"I used to be able to watch normal news without too much trouble, but it seems like now every story involves somebody being outraged about something somebody else did.","Me too, but when I don't keep up to date it stresses me out to, I feel like I'm not being a good citizen.",,
3TKSOBLOHL1NBNSLHW09ALQMYB2BB2,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,39KFRKBFIOH6T98ZLVOHC0K8GHWOYT,A1YI99FRUDX2M7,Approved,Fri Jun 02 16:29:14 PDT 2017,Fri Jun 02 16:32:52 PDT 2017,Sat Jun 17 16:32:52 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,218,100% (9/9),100% (9/9),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.rhetorical,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,Right?  What about how Kelly Ann Conway deals with the media when talking about Trump?,,"Yea, they didn't want to be bumped off the way the Russians deal with their critics.",You're right.  They seemed terrified of what he would do to them with all his late night tweets.,I agree.  They really did just fall in line when he won the election.  And many of them were able to get Cabinet jobs or special favors.,,
34XASH8KLQ7LY8XSRQ8JJL65RELMPN,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3YDTZAI2WY25ZANEQM2ZKF3TSAS41G,A2YE2I9DYV9OKW,Approved,Sat Jun 03 08:49:05 PDT 2017,Sat Jun 03 08:52:47 PDT 2017,Sun Jun 18 08:52:47 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,222,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A31NREVPH2XDCO,Answer.TalkMore,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,I get a little worried that we're all isolating ourselves in social media silos. Sometimes it seems like people with different views don't even live in the same world.,NA,"But discussing politics is where you can get off the sickest burns, how could you pass up that opportunity?","Yes, it's very frustrating. It never seems to lead to anything but acrimony and recrimination.","It's true, I don't enjoy it either. But I feel an obligation as a citizen, we all need to live together, you know?",,
3QO7EE372O8AFTUA0EXZ5ALLKB3QBT,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3A9AA95ATX8QCLAGPTWZQ3R5VMUP5B,A2YE2I9DYV9OKW,Approved,Sat Jun 03 10:00:07 PDT 2017,Sat Jun 03 10:05:16 PDT 2017,Sun Jun 18 10:05:16 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,309,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A31NREVPH2XDCO,Answer.negative,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","If you think about it, in such a large country there statistically have to be some pretty terrible people who agree with your politics, no matter what you believe.",NA,"Not me, it usually takes about three or four two-year terms in the House and then another six years in the Senate before I figure it out.","What people care about politically tells you a lot about who they are as people, doesn't it make a lot of sense that it's a good way to figure out who you'd want to be friends with?","I'm always amazed when I hear about romantic couples who are polar opposites politically, I can never figure out how something like that happens.",,
