HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITTYPE_ID_level1,Input.HITTYPE_ID_level2,Input.WORKER_ID_level1,Input.WORKER_ID_level2,Input.Dialogueacts_level1,Input.Dialogueacts_level2,Input.slot0,Input.slot1,Input.slot2,Answer.change,Answer.comments,Answer.joking_sarcastic,Answer.more_detail,Answer.sympathetic,Approve,Reject
302U8RURJZM4LAFOP3WI2SKNIUONV5,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:27 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:27 PDT 2017,,,3X31TUMD7Y81XIUZWE1G6W54E6CL1Z,A2L7S6RZOZ6NM9,Approved,Mon Jun 05 18:28:28 PDT 2017,Mon Jun 05 18:32:42 PDT 2017,Tue Jun 20 18:32:42 PDT 2017,Sun Jun 11 22:05:36 PDT 2017,,,254,100% (128/128),100% (128/128),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,A2YE2I9DYV9OKW,Answer.negative,Answer.joking_sarcastic,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, they all do it. The trick now, though, is how do you tell when the news reporters are lying?",Some people are just flat out better liars than others. Thats  pretty much the way that it goes.,,"Yea, well who knows when they are lying. They are reading off of a script anyway.","Yea, thats usually the way to tell though. News reporters are more difficult to gauge.","Yea, I agree. They tend be truthful people, but when they are not, its difficult to tell.",,
302U8RURJZM4LAFOP3WI2SKNIUOVND,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:28 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:28 PDT 2017,,,32SVAV9L3GVGB2HAMRQ9LB4QIAV3AN,A3RYTY3QHRXNIY,Approved,Mon Jun 05 14:21:18 PDT 2017,Mon Jun 05 14:23:42 PDT 2017,Tue Jun 20 14:23:42 PDT 2017,Sun Jun 11 22:05:40 PDT 2017,,,144,100% (29/29),100% (9/9),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A3DSAIFZ7KJPO1,A4HBWAVHBH9OJ,Answer.negative,Answer.joking_sarcastic,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,Wow.  Sounds like you don't have a very high regard for people who are really into fashion.,"I do love the romper trend though, rompers are really cute for summertime, unless they are on men.",,I think its funny when you see a group of kids and the boys jeans are tighter than the girls,"I do, it just depends on the type of fasion.  I dont prefer skinny jeans on people especially men.","I do however feel bad for them that they feel the need to dress that way, and maybe they dont drink pabst beer,",,
304QEQWKZP56AUEKNL86WOU2E8GO0T,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:28 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:28 PDT 2017,,,3SNVL38CI5EA0FMFRBEZ8SBGT5YCKH,A2YE2I9DYV9OKW,Approved,Tue Jun 06 10:02:20 PDT 2017,Tue Jun 06 10:07:39 PDT 2017,Wed Jun 21 10:07:39 PDT 2017,Sun Jun 11 22:05:40 PDT 2017,,,319,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A3DSAIFZ7KJPO1,A4HBWAVHBH9OJ,Answer.negative,Answer.elaboration,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,What if the fashionista hipster was drinking Coors beer.  Would that make a difference?,It amazes me that the big beer brands still stay in business when there are so many awesome micro brews available nowadays.,NA,It really depends. If they used to drink Pabst but stopped because it got too popular then they're an alpha-hipster trendsetter.,It makes all the difference in the world. How will people know you're hip and cool if you don't conform to what the other hip and cool people are doing?,It depends on whether they're doing it because they just like it better or because they're consciously bucking the trend.,,
308KJXFUJRRIOZHAB4RYF4C2M29TAB,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:30 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:30 PDT 2017,,,3RJSC4XJ11GNO46W88H9B2QXNQM057,AGATMN9R66VSP,Approved,Tue Jun 06 07:00:50 PDT 2017,Tue Jun 06 07:06:43 PDT 2017,Wed Jun 21 07:06:43 PDT 2017,Sun Jun 11 22:05:46 PDT 2017,,,353,100% (21/21),100% (13/13),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,A3PB0KSWXYUEAY,Answer.positive,Answer.continuation,Let's talk about entertainment.,there is too much entertainment news on tv nowadays,I agree there are not enough real news sources like Fox or CNN on TV to watch.,If you think Fox and CNN are real news what networks do you consider to be fake news?,,"I totally agree! But besides Fox news, what other networks do you watch for a good laugh?",These days I don't think there is any distinction between news and entertainment. The line is so blurred between news and opinion that it makes it hard to distinguish between the two unless you really know how to research a topic.,I prefer to get my news from independent outlets but some of the bigger networks are OK too.,,
30EV7DWJTVGDIJ41VXXL7G2V5L1Y6F,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:29 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:29 PDT 2017,,,374TNBHA8CH9ELLF08GL15F8VXZQYI,A2L7S6RZOZ6NM9,Approved,Mon Jun 05 17:56:36 PDT 2017,Mon Jun 05 18:03:29 PDT 2017,Tue Jun 20 18:03:29 PDT 2017,Sun Jun 11 22:05:42 PDT 2017,,,413,100% (128/128),100% (128/128),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,A2L7S6RZOZ6NM9,Answer.negative,Answer.elaboration,Let's talk about fashion.,You know the old joke about fashion.  If you don't like this season's designs wait about 15 minutes and you will have something new to waste your money on,"Yea, I prefer to wait about 20 minutes usually. I feel like thats when the deals come out.",I prefer to shop and just find whatever I like. I don't look for a specific style.,,Why not just wait for 30 minutes. You might find something even better.  Thats usually the way it works.q,"Yea, you're a witty one, aren't you? They say more wait time is better. Ya know?","Yea, the longer you wait, the better your chances are of finding something that interests you.",,
30F94FBDNR5N79M2HIRUAFW84KUTB6,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:30 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:30 PDT 2017,,,3DR23U6WE60O0WWGHBYMZ7YFXUWETC,A2XUF47MZ1FQ5W,Approved,Tue Jun 06 08:20:46 PDT 2017,Tue Jun 06 08:25:37 PDT 2017,Wed Jun 21 08:25:37 PDT 2017,Sun Jun 11 22:05:46 PDT 2017,,,291,100% (1/1),100% (1/1),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,AMX5R6NLYNA2K,Answer.rhetorical,Answer.change,Let's talk about entertainment.,every time there is a new movie to be promoted the stars make the rounds on these shows.  I saw Goldie Hawn and Amy Schumer on one of these shows last nights and you could tell they were doing  this marketing only because it was in their deal when they sign on to do the move.,"Never! Speaking of, did you hear of any Netflix originals coming out recently?","I actually haven't, but I heard that Hulu has some great shows coming out soon.",No,Any new originals?  Try one every day! I can't keep up with all the new shows being added.,I did!  I heard there's a new season of Master of None.  I can't wait to see it.,Yes! The show 13 Reasons Why is supposed to be good. It's really popular with kids these days.,,
30U1YOGZGAHF76776EDAV0OM5MSDS8,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:29 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:29 PDT 2017,,,351SEKWQS13FVVSWCJMQ7BL239TMDI,A3PB0KSWXYUEAY,Approved,Mon Jun 05 20:21:59 PDT 2017,Mon Jun 05 20:23:56 PDT 2017,Tue Jun 20 20:23:56 PDT 2017,Sun Jun 11 22:05:42 PDT 2017,,,117,100% (64/64),100% (30/30),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,A2L7S6RZOZ6NM9,Answer.negative,Answer.joking_sarcastic,Let's talk about fashion.,You know the old joke about fashion.  If you don't like this season's designs wait about 15 minutes and you will have something new to waste your money on,"Yea, people will really buy anything these days. It's a shame that people are so willing to waste so much money.","I agree, but do you think people are not going to spend money on high fashion rather than something else?",none,"What waste of money, you know that you enjoy shopping and getting new designer clothes.",Yeah but it depends the new Prada line had some great items that were affordable.,If the fashion makes you feel and look good can you really say it is a waste of money though?,,
30Y6N4AHYPH36R7URPD55QJQJK9DRK,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:29 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:29 PDT 2017,,,3B837J3LDPICU0O6EHDWO91CA0URSZ,A2F7BVFNX8BB5C,Approved,Tue Jun 06 07:20:51 PDT 2017,Tue Jun 06 07:29:02 PDT 2017,Wed Jun 21 07:29:02 PDT 2017,Sun Jun 11 22:05:42 PDT 2017,,,491,100% (13/13),100% (13/13),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,A3VOG7TQCAYWAJ,Answer.TalkMore,Answer.joking_sarcastic,Let's talk about fashion.,Fashion keeps changing because the designers need to convince people they need to buy the latest looks so the designers can keep charging outrageous amounts for them,"I just feel so bad for some of these people out there that are made to feel bad about themselves simply because they can't afford the newest Coach hobo bag.  Or that some poor people actually will spend their entire tax refund checks on the newest fashion & most expensive shoes instead of taking care of needs.  No one in the fashion industry, especially the designers, even cares.  Otherwise their clothing wouldn't cost $200 for a pair of jeans.",I would love to learn how to make some of my own clothes. Do you think that would be hard?,,"Darling, do you expect me wear the $3000 chiffon dashiki by LeMerc more then once? It's only designed to be worn on the 45th Thursday of the year of the dog - and only if the planets align. After that, the colors are all wrong.",It is pretty ridiculous. I mean it would be one thing if the clothing you bought was actually high quality and meant to last - then I could see spending a decent amount of money on it. But they want you to wear it once and throw it away and buy more!,"Yeah, those people are just doing what they think they're supposed to do to fit in and seem successful, while it really just beggars them. Did you know there are actually 52 seasons in the fashion industry? One for every week, that's crazy.",,
31GN6YMHLPDEGC7YN9I0NOD7C2YSWW,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:15 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:15 PDT 2017,,,3TMSXRD2X7MH8C6Y0S8IF7MKCFC1W8,A3V9FO37B3YIKH,Approved,Tue Jun 06 08:53:30 PDT 2017,Tue Jun 06 08:56:54 PDT 2017,Wed Jun 21 08:56:54 PDT 2017,Sun Jun 11 22:05:38 PDT 2017,,,204,100% (7/7),100% (7/7),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A9ZS3JB9F24V4,AMX5R6NLYNA2K,Answer.rhetorical,Answer.continuation,Let's talk about sports.,"I go to Fenway Park with my family every summer, so baseball is probably my favorite of all sports.","That's awesome, I went to Fenway a lot with my Dad when I was a kid. It's really cool to catch a game in a park that people have been going to for nearly 100 years.",speaking of catching a sunburn how about we plan some beach time soon ? i'd much rather catch a sun burn there with you and the kids,no,i never caught anything at the park more than a great sunburn though the memories i carry around in my heart make the sunburns all worth while,"that park does have a long time history for sure, but the history i make with my family and the memories are certainly more important to me than that","i'm glad you got to go to fenway with your dad, did you catch any game balls with him there ?",,
31HLTCK4BLGYBIY22ZJNC8BQHI2VG5,3WO7ZNC6SLRHED0HM8CMYPHDYJRD8A,Continue the Conversation Step 3,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Mon Jun 05 13:51:27 PDT 2017,1,BatchId:2825682;OriginalHitTemplateId:920937336;,3600,1296000,Mon Jun 12 13:51:27 PDT 2017,,,3IX2EGZR7C5JVX5GRN4IW8APECEJRY,A2V10Z5K298ZWS,Approved,Mon Jun 05 14:49:38 PDT 2017,Mon Jun 05 14:54:20 PDT 2017,Tue Jun 20 14:54:20 PDT 2017,Sun Jun 11 22:05:36 PDT 2017,,,282,100% (3/3),100% (3/3),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,A2CSV75E3JT58Y,A2YE2I9DYV9OKW,Answer.negative,Answer.change,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,I think a lot of politicians use the George Costanza method: It's not a lie if you believe it.,"Lying is a tricky business, but that's one way to get around a polygraph test. I wonder if they really use those things as often as they make us think in the movies.",,You're kidding! I thought EVERYONE believed EVERYTHING politicians say these days!,Definitely. That's what makes it so hard to argue about politics - everyone thinks they're right!,"Yeah, especially these days politics has gotten so partisan and out-of-hand. I wish we could trust our governmental officials more.",,
