HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.slot0,Answer.RelatedTopic,Answer.anecdote,Answer.comments,Answer.funny,Answer.opinion,Approve,Reject
3TUOHPJXYHIMCTTXHJONMWUZPVEXWD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,32UTUBMZ7HI56LOLCFWBZHGFLMSBVK,A2M41NBJHU0TSJ,Submitted,Thu May 11 11:16:23 PDT 2017,Thu May 11 11:25:22 PDT 2017,Fri May 26 11:25:22 PDT 2017,,,,539,100% (4/4),100% (4/4),100% (4/4),I love walking along the beach.,Finding parking at the beach is always a hassle no matter which one you go to.,"That is exactly what my wife and I did during our anniversary two years ago, It was great walking on the beach at night and seeing all the lights of the city.",No,That always reminds me of the time a seagull ate my churro right out of my hand when I was little.,Me too but I hate how sand gets on everything!,x,
3TUOHPJXYHIMCTTXHJONMWUZPVEXWD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,340UGXU9DZNK2KXRC6D64783954UVK,A34QZDSTKZ3JO9,Submitted,Thu May 11 07:19:33 PDT 2017,Thu May 11 07:21:17 PDT 2017,Fri May 26 07:21:17 PDT 2017,,,,104,100% (90/90),100% (90/90),100% (90/90),I love walking along the beach.,I hate walking on the beach.  There's alway so much seaweed.,Who doesn't love walking on the beach?  I only wish I lived closer.,none,What part of the beach do you take your walks on?,Yes!  The sand feels so good between my toes!  I love it!,x,
3TUOHPJXYHIMCTTXHJONMWUZPVEXWD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3MHW492WW1Z1PCSI34MKDXR9XMUVMT,A1R3MNDWBBDZ6L,Submitted,Thu May 11 12:37:51 PDT 2017,Thu May 11 12:38:39 PDT 2017,Fri May 26 12:38:39 PDT 2017,,,,48,100% (91/91),100% (91/91),100% (91/91),I love walking along the beach.,A lot of people like walking in the snow too.,I walked on the beach all the time as a kid.,no,"Bring a metal detector next time, maybe you'll find buried treasure.",Me too! It's so soft and warm.,x,
3MNJFORX8BPBZONSLOVSQPHF1TF5FE,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,33LKR6A5KF6PGV245N37SNFL1NL1T6,A5N6QK76RTR7R,Submitted,Thu May 11 06:26:33 PDT 2017,Thu May 11 07:00:52 PDT 2017,Fri May 26 07:00:52 PDT 2017,,,,2059,100% (231/231),100% (231/231),100% (231/231),"I belong to a local gym, and go to the SPIN classes.",I think I would like to start doing crunches.,A great butt is as valuable as a good pair of boobs these days!,NA,Just imagine..the bigger the butt the bigger the celebrity.,That is great. I bet you're getting really fit!,x,
3MNJFORX8BPBZONSLOVSQPHF1TF5FE,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3F1567XTNXRUDKD7SWO52OMHGU7Q9S,A1R3MNDWBBDZ6L,Submitted,Thu May 11 11:01:49 PDT 2017,Thu May 11 11:03:28 PDT 2017,Fri May 26 11:03:28 PDT 2017,,,,99,100% (91/91),100% (91/91),100% (91/91),"I belong to a local gym, and go to the SPIN classes.",What other classes does the gym have?,"I go to a gym too, but mine doesn't have SPIN classes at all.",no,I'd better not join that class; I'd knock everyone down by accident!,Interesting. I should try that out too.,x,
3MNJFORX8BPBZONSLOVSQPHF1TF5FE,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3UN61F00HXBBOYQV2L0OVYRKQM7R5O,A4M9S4KGADCZ7,Submitted,Thu May 11 13:26:59 PDT 2017,Thu May 11 13:30:50 PDT 2017,Fri May 26 13:30:50 PDT 2017,,,,231,0% (0/0),0% (0/0),0% (0/0),"I belong to a local gym, and go to the SPIN classes.",I had to find a Zumba class because spinning was too intense for me to keep pace.,"At first I thought it would be like riding a regular bike, which I like but it's not.",,"I tried a spin bike when no one was looking and I was out of breath in 3 minutes, no way I could survive a 45 minute class.",Spinning looks like fun in a group class.,x,
3JUDR1D0D6CGRGUEHL4O4HIHOLX2Q4,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3B1NLC6UG0IOSIZ06PFQU0IUE9OPGU,A3QZ0X5GCZ3H97,Submitted,Thu May 11 07:21:34 PDT 2017,Thu May 11 07:27:02 PDT 2017,Fri May 26 07:27:02 PDT 2017,,,,328,100% (10/10),100% (10/10),100% (10/10),I like to go mountain biking.,Mountain bikes can be expensive. Maybe that is why it is not a common hobby.,"When I stayed in New Mexico, we would go to the mountains, rent a bike, and ride all day.",,"Mountain biking can be even more fun if you know how to do tricks, or in my case if you know how to faithfully crash into everything.",Mountain biking is a great way to exercise.,x,
3JUDR1D0D6CGRGUEHL4O4HIHOLX2Q4,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3P59JYT76M6W5GK0OR3LX6PQTSRT25,A3OWGVIP4VYSPV,Submitted,Wed May 10 23:45:42 PDT 2017,Wed May 10 23:46:55 PDT 2017,Thu May 25 23:46:55 PDT 2017,,,,73,100% (12/12),100% (12/12),100% (12/12),I like to go mountain biking.,The bikes are expensive but it's surely worth it when you get fit.,I tried it once and my muscles ached so much afterward.,no,I wonder if there are laws about biking off the mountain or where there are none.,Mountain biking is great exercise.,x,
3JUDR1D0D6CGRGUEHL4O4HIHOLX2Q4,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3UJ1CZ6IZIBNPDQ8HA0TL8WGBKK5SB,A5N6QK76RTR7R,Submitted,Thu May 11 08:04:59 PDT 2017,Thu May 11 08:24:35 PDT 2017,Fri May 26 08:24:35 PDT 2017,,,,1176,100% (231/231),100% (231/231),100% (231/231),I like to go mountain biking.,What I really like is tennis.,They say you can judge a person's character by what sport he likes.,NA,I guess I don't have much character as there aren't many sports I like.,It is really a good sport.,x,
3MIVREZQVHJB8WY46RAS4D4B5LIQKD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,31JLPPHS2VG5D6BBWAVRM6OV11Y3OZ,A1R3MNDWBBDZ6L,Submitted,Thu May 11 12:15:50 PDT 2017,Thu May 11 12:17:23 PDT 2017,Fri May 26 12:17:23 PDT 2017,,,,93,100% (91/91),100% (91/91),100% (91/91),Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Tapes are cool too.,I used to have a ton of CDs when I was a kid.,no,"Remember the 8-Track? That was a really inconvenient way to store music, huh?","Yeah, I agree. There's just something unique about owning a physical copy of music.",x,
