Utterance_ID,Conversation_ID,No_Of_Turns,Turn_ID
0,0,1,0
1,0,1,1
2,0,1,1
3,0,1,1
4,0,1,1
5,1,1,0
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,2,1,0
11,2,1,1
12,2,1,1
13,2,1,1
14,2,1,1
15,3,1,0
16,3,1,1
17,3,1,1
18,3,1,1
19,3,1,1
20,4,1,0
21,4,1,1
22,4,1,1
23,4,1,1
24,4,1,1
25,5,1,0
26,5,1,1
27,5,1,1
28,5,1,1
29,5,1,1
30,6,1,0
31,6,1,1
32,6,1,1
33,6,1,1
34,6,1,1
35,7,1,0
36,7,1,1
37,7,1,1
38,7,1,1
39,7,1,1
40,8,1,0
41,8,1,1
42,8,1,1
43,8,1,1
44,8,1,1
45,9,1,0
46,9,1,1
47,9,1,1
48,9,1,1
49,9,1,1
50,10,1,0
51,10,1,1
52,10,1,1
53,10,1,1
54,10,1,1
55,11,1,0
56,11,1,1
57,11,1,1
58,11,1,1
59,11,1,1
60,12,1,0
61,12,1,1
62,12,1,1
63,12,1,1
64,12,1,1
65,13,1,0
66,13,1,1
67,13,1,1
68,13,1,1
69,13,1,1
70,14,1,0
71,14,1,1
72,14,1,1
73,14,1,1
74,14,1,1
75,15,1,0
76,15,1,1
77,15,1,1
78,15,1,1
79,15,1,1
80,16,1,0
81,16,1,1
82,16,1,1
83,16,1,1
84,16,1,1
85,17,1,0
86,17,1,1
87,17,1,1
88,17,1,1
89,17,1,1
90,18,1,0
91,18,1,1
92,18,1,1
93,18,1,1
94,18,1,1
95,19,1,0
96,19,1,1
97,19,1,1
98,19,1,1
99,19,1,1
100,20,1,0
101,20,1,1
102,20,1,1
103,20,1,1
104,20,1,1
105,21,1,0
106,21,1,1
107,21,1,1
108,21,1,1
109,21,1,1
110,22,1,0
111,22,1,1
112,22,1,1
113,22,1,1
114,22,1,1
115,23,1,0
116,23,1,1
117,23,1,1
118,23,1,1
119,23,1,1
120,24,1,0
121,24,1,1
122,24,1,1
123,24,1,1
124,24,1,1
125,25,1,0
126,25,1,1
127,25,1,1
128,25,1,1
129,25,1,1
130,26,1,0
131,26,1,1
132,26,1,1
133,26,1,1
134,26,1,1
135,27,1,0
136,27,1,1
137,27,1,1
138,27,1,1
139,27,1,1
140,28,1,0
141,28,1,1
142,28,1,1
143,28,1,1
144,28,1,1
145,29,1,0
146,29,1,1
147,29,1,1
148,29,1,1
149,29,1,1
150,30,1,0
151,30,1,1
152,30,1,1
153,30,1,1
154,30,1,1
155,31,1,0
156,31,1,1
157,31,1,1
158,31,1,1
159,31,1,1
160,32,1,0
161,32,1,1
162,32,1,1
163,32,1,1
164,32,1,1
165,33,1,0
166,33,1,1
167,33,1,1
168,33,1,1
169,33,1,1
170,34,1,0
171,34,1,1
172,34,1,1
173,34,1,1
174,34,1,1
175,35,1,0
176,35,1,1
177,35,1,1
178,35,1,1
179,35,1,1
180,36,1,0
181,36,1,1
182,36,1,1
183,36,1,1
184,36,1,1
185,37,1,0
186,37,1,1
187,37,1,1
188,37,1,1
189,37,1,1
190,38,1,0
191,38,1,1
192,38,1,1
193,38,1,1
194,38,1,1
195,39,1,0
196,39,1,1
197,39,1,1
198,39,1,1
199,39,1,1
200,40,1,0
201,40,1,1
202,40,1,1
203,40,1,1
204,40,1,1
205,41,1,0
206,41,1,1
207,41,1,1
208,41,1,1
209,41,1,1
210,42,1,0
211,42,1,1
212,42,1,1
213,42,1,1
214,42,1,1
215,43,1,0
216,43,1,1
217,43,1,1
218,43,1,1
219,43,1,1
220,44,1,0
221,44,1,1
222,44,1,1
223,44,1,1
224,44,1,1
225,45,1,0
226,45,1,1
227,45,1,1
228,45,1,1
229,45,1,1
230,46,1,0
231,46,1,1
232,46,1,1
233,46,1,1
234,46,1,1
235,47,1,0
236,47,1,1
237,47,1,1
238,47,1,1
239,47,1,1
240,48,1,0
241,48,1,1
242,48,1,1
243,48,1,1
244,48,1,1
245,49,1,0
246,49,1,1
247,49,1,1
248,49,1,1
249,49,1,1
250,50,1,0
251,50,1,1
252,50,1,1
253,50,1,1
254,50,1,1
255,51,1,0
256,51,1,1
257,51,1,1
