UniqueID,DialogueActs,Texts
0,prompt,I really like Gone With the Wind
1,General,All the classic movies are really undervalued by viewers today.
2,Question,Have you read the book?  What scene are you most excited for?
3,Similar,"Yeah, I'm excited for that as well, though what I'm waiting for is a remake of Pride and Prejudice."
4,Specific,Absolutely!  I'm in love with all the versions of Rhett Butler.
5,prompt,I really like It's a Wonderful Life
6,General,Me too I really like old movies.
7,Question,Where do you want to see it?
8,Similar,I do too but I would rather see Rogue One.
9,Specific,I want to see it in I-MAX.
10,prompt,I really like Star Wars
11,General,It is a very imaginative movie
12,Question,Do you like robotic characters?
13,Similar,Do you like sci-fi movies?
14,Specific,It was Harrison Ford's first major role.
15,prompt,I really like Star Wars
16,General,I'm not your father; but watch it!
17,Question,How many people have berated you for not watching it yet?
18,Similar,You'll have to let me know how you feel about the difference between the older and newer ones.
19,Specific,It took me years and years to finally sit down and watch the series--I'm still trying to decide if it was worth it.
20,prompt,I really like Gone With the Wind
21,General,I find the wardrobe from that decade to be very eloquent and fascinating.
22,Question,Really? Did you know that Scarlett was cast after filming began?
23,Similar,They won 9 Academy Awards for that movie.  It then won another award in 2009 for best DVD.
24,Specific,I enjoy the movies form the early 1900's. The Wizard of Oz came out around the same time.
25,prompt,I really like Gone With the Wind
26,General,A lot of movies from that era are still interesting.
27,Question,"Have you read the book, or its ""sequel?"""
28,Similar,Gone With the Wind won a lot of Academy Awards when it came out.
29,Specific,Do you have any thoughts on the story's politics?
30,prompt,I really like Gone With the Wind
31,General,It is about the South.
32,Question,Is Clark Gable sexy of what?
33,Similar,Have you read the book?
34,Specific,Do you know the lead actress was bipolar?
35,prompt,I really like Iron Man
36,General,"Superhero movies are hit or miss. Some can be awesome, but most are CGI showcases with no plots."
37,Question,Do you collect comics?
38,Similar,That's crazy Robert Downey Jr. from all those 80's teen movies is Iron Man. It works though with his personality.
39,Specific,"I saw ""The Avengers"" in theaters. That is one of the greatest Marvel movies ever, and of course Iron Man is in it. You also have Captain America, Thor and Hulk. Scarlett Johansson too. I think Spider-Man is going to be in the next one."
40,prompt,I really like Iron Man
41,General,I have not seen many movies with superheroes?
42,Question,Have you watched any other movies taken from Marvel comics?
43,Similar,Do you like movies with superheroes?
44,Specific,Do you like Robert Downey Jr?
45,prompt,I really like Iron Man
46,General,Iron Man--the alcoholic superhero!
47,Question,Iron Man--are the previews that good?  Which other super-hero movies have you checked out?
48,Similar,Iron Man has the personality of an average Joe--he's rather relatable.
49,Specific,The industry has been pumping out these comic-book movies--most have been all right.
50,prompt,I really like It's a Wonderful Life
51,General,I love old movies.
52,Question,Have you seen Frank Capra movies before?
53,Similar,Do you know it's been on TV.
54,Specific,I enjoyed it because it is a move about optimism.
55,prompt,I really like Guardians of the Galaxy
56,General,Who's your favorite actor of all time?
57,Question,Has anyone you know been to see it yet?
58,Similar,I haven't seen that yet either
59,Specific,Who's your favorite star in the movie?
60,prompt,I really like Guardians of the Galaxy
61,General,Are you a Chris Pratt fan? I liked him on Parks & Recreation.
62,Question,Did you see who's playing Chris Pratt's father? Kurt Russell! Did you ever see him in Escape from New York?
63,Similar,"I read about it in Entertainment Weekly last week, did you see the article?"
64,Specific,The first one or part two? I think part 2 came out yesterday!
65,prompt,I really like Guardians of the Galaxy
66,General,I saw the first movie. I liked it.
67,Question,Really? Why do you want to see it?
68,Similar,It looks like a good movie.
69,Specific,Me too. I love Chris Pratt.
70,prompt,I really like Hidden Figures
71,General,Hidden Figures was nominated for Best Movie this year.
72,Question,Are you familiar with any of the real-life characters in the movie?
73,Similar,Do you know the history behind the movie?
74,Specific,Have you seen many movies with Octavia Spencer?
75,prompt,I really like Hidden Figures
76,General,I don't think I have ever seen those actresses before in anything
77,Question,Have any of your friends seen it yet?
78,Similar,Have you read many reviews?
79,Specific,Who is starring in that movie?
80,prompt,I really like Blackish
81,General,"The characters on the show Blackish, have good chemistry with each other."
82,Question,Who is your favorite character on the show.
83,Similar,"Have you ever seen ABC's hit television show, about black family life in America called Blackish."
84,Specific,"The show depicts black family life, but does it in a funny way."
85,prompt,I really like The Big Bang Theory
86,General,The characters are so funny. My favorite character is Sheldon.
87,Question,Who's your favorite character? Have you seen Two Broke Girls?
88,Similar,"Yes, I do."
89,Specific,"Absolutely, I think Sheldon is the funniest character on the show."
90,prompt,I really like The Big Bang Theory
91,General,Is that a show? I don't watch  a lot of tv.
92,Question,that show is great! Who is your favourite character?
93,Similar,"I've seen a few episodes but I never really got into it. I really liked House, MD."
94,Specific,"Yeah, I like that show. Sheldon and Amy are super funny."
95,prompt,I really like The Big Bang Theory
96,General,Did you hear that the actress who plays Amy was actually a scientist in real life?
97,Question,Do you have a favorite Big Bang Theory character or episode?
98,Similar,"Sometimes I watch Big Bang Theory.  Do you watch the older episodes, or are you watching the first run shows?"
99,Specific,I liked the episode where we finally got to hear what the baby would sound like - the mother or the mother-in-law.
100,prompt,I really like How to Get Away With Murder
101,General,I have heard of that show before. I don't think I've seen an episode.
102,Question,I have not seen that show before. Would you recommend it? I am looking for a new show to binge watch.
103,Similar,No I do not.
104,Specific,I haven't seen that show! It seems interesting.
105,prompt,I really like How to Get Away With Murder
106,General,I seldom watch network TV until I hear the reviews.  Then I'll watch well-received shows in re-runs.
107,Question,"Does the plot deal with one homicide per episode, or is each year devoted to one incident?"
108,Similar,Sometimes.  I really watch the re-runs.
109,Specific,"I graduated from law school, so it kind of intrigues me."
110,prompt,I really like Grey's Anatomy
111,General,"No, it seems like other shows would be more interesting."
112,Question,"No, but I've heard that it's popular. Why do you think people like it?"
113,Similar,"No, but there are other television programs that I enjoy."
114,Specific,"It's a drama show, isn't it? I don't watch it, but there are other dramas that I enjoy."
115,prompt,I really like Grey's Anatomy
116,General,Who is your favorite character?
117,Question,Who do you think they'll sleep with next?
118,Similar,Yes I love that show
119,Specific,Are you call caught up on the current season?
120,prompt,I really like The Blacklist
121,General,Where is it set
122,Question,Who are the main actors?
123,Similar,"No, but I've heard good things, is it good?"
124,Specific,What's the main storyline?
125,prompt,I really like The Blacklist
126,General,That's a great show. It's so interesting and engaging.
127,Question,Did you see the main actor as a character in The Office?
128,Similar,"Yes, it's a good show."
129,Specific,I love the Blacklist. The main character is so good and I wish he was in more television shows.
130,prompt,I really like The Blacklist
131,General,Do you watch TV at night? I'm bored and need something new to watch.
132,Question,Since I haven't seen all the episodes could you please tell me how Red got captured at the beginning of the series?
133,Similar,Are you watching any broadcast TV dramas like The Blacklist?
134,Specific,"I forgot the name of the star of Blacklist. He was excellent in the movie Sex, Lies & Videotape."
135,prompt,I really like Game of Thrones
136,General,I really like how it takes place in the past.
137,Question,Why do you think the animals play such a big part?
138,Similar,I really like how that show is on HBO.
139,Specific,"Game of Thrones is casted really well, I love the actor who plays Jon Snow."
140,prompt,I really like Game of Thrones
141,General,The third season was my favorite
142,Question,were you surprised with the red wedding?
143,Similar,I like that the action scenes in Game of Thrones they are violent
144,Specific,I like how they follow the books really well. George RR Martin created a great fantasy
145,prompt,I really like Game of Thrones
146,General,They certainly have a big budget and it shows.
147,Question,So who do you think Jon Snow's mother is then?
148,Similar,Me too. It's my favourite show
149,Specific,It will be interesting to see what happens in the new season with those White Walkers and Cersei on the Iron Throne.
150,prompt,I really like House of cards
151,General,Netflix makes some really good shows
152,Question,What character do you like the best in the show?
153,Similar,I really like the character Frank Underwood
154,Specific,I like how the show shows the political underworld of Washington D.C. in a contemporary landscape
155,prompt,I really like House of cards
156,General,House of Cards is one of those shows you can't put down.
157,Question,Which season of the show is your favorite.
158,Similar,I think that show might be the best on television.
159,Specific,Kevin Spacey is the most talented actor in existence. He makes that show worth watching.
160,prompt,I really like House of cards
161,General,I love a good drama series
162,Question,So how many season have they done now?
163,Similar,Yeah House of Cards is such an addictive show
164,Specific,It's based on a novel. Have you read it by any chance?
165,prompt,I really like Breaking Bad
166,General,Breaking Bad is a really great show with so many themes.
167,Question,What character is your favorite from Breaking Bad?
168,Similar,"I love Breaking Bad, I think the story line is complex and interesting for a large audience."
169,Specific,I really enjoy the actors in Breaking Bad and how much credibility they brought to the characters.
170,prompt,I really like Breaking Bad
171,General,I  thought  it  was  well  done  and cool
172,Question,Did  you like  better call  saul  also?
173,Similar,I liked the  story  breaking  bad   had  to tell.
174,Specific,I really liked the  rise and  fall of  walter  white  and jesse .
175,prompt,I really like Breaking Bad
176,General,AMC have got some great shows on that network
177,Question,Which season did you think was the best?
178,Similar,"Yeah its great, I've almost seen every season"
179,Specific,Walter White is such a great character
180,prompt,I really like Sherlock
181,General,The person who played Sherlock was a great actor.
182,Question,Which part of the movie Sherlock did you like the best?
183,Similar,I love Sherlock movies.
184,Specific,I love the person that plays Sherlock. He was a very good fit for the part.
185,prompt,I really like Sherlock
186,General,I think that BBC really outdid themselves with Sherlock.
187,Question,Do you think they'll keep making new episodes?
188,Similar,I can't believe how great Benedict Cumberbatch is in that show. He really brings it all together.
189,Specific,The dynamic between Benedict Cumberbatch and Martin Freeman is so entertaining.
190,prompt,I really like Sherlock
191,General,I wish Sherlock had more episodes
192,Question,Which episode do you like the best?
193,Similar,The characters in Sherlock are so witty.
194,Specific,I love how they have taken the character Sherlock and put him into a present day setting.
195,prompt,I really like action movies
196,General,I like the sound of action movies when I study. It's good energy.
197,Question,What is a good action movie?
198,Similar,I enjoy action movies. They are fun.
199,Specific,Sometimes when I study I like to have an action movie with Arnold Schwarzenegger on.
200,prompt,I really like action movies
201,General,"Also, Michael Bay needs to be stopped."
202,Question,"Which type of action movies are you into? Comic based, car centered, fight centered?"
203,Similar,"I don't mind them, depending on the franchise."
204,Specific,"Marvel, DC, etc. cram too much into a scene and I get lost."
205,prompt,I really like action movies
206,General,Action movies require a lot of work and stunt people.
207,Question,What is your favorite action movie out now?
208,Similar,I really like how much fun action movies are to watch and how captivating they can be.
209,Specific,"I really like how intense action movies can get, even out of the realm of believability but still make it seem possible."
210,prompt,I really like romantic movies
211,General,Romantic movies can be a lot of fun to watch on your own.
212,Question,Do you think romantic movies are for people in love or everyone?
213,Similar,"Yeah, romantic movies are crucial when you're feeling down."
214,Specific,I really like romantic movies like The Notebook and how intense the story of love can be.
215,prompt,I really like romantic movies
216,General,Most romantic movies I have seen are pretty cheesy.
217,Question,Do you think romantic movies these days are as good as they used to be back in the 80s and 90s?
218,Similar,"I really like romantic movies as well, especially romantic comedies from the 80s."
